	Gene ID	source_id	Input Order	Input ID	Product Description	Gene Name or Symbol	Apollo Product Description	PFam ID	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Process IDs	Computed GO Functions	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Functions	Curated GO Function IDs	Curated GO Process IDs	Curated GO Processes	UniProt ID(s)
301	PF3D7_1405900	PF3D7_1405900.1	323	PF3D7_1405900	RNA-binding protein, putative		None	PF00076			GO:0003676		nucleic acid binding		GO:0005737;GO:0005634	cytoplasm;nucleus	RNA binding;mRNA binding	GO:0003723;GO:0003729			A0A144A153
302	PF3D7_1407500	PF3D7_1407500.1	324	PF3D7_1407500	multifunctional methyltransferase subunit TRM112, putative	TRM112	None	PF03966			GO:0008168;GO:0046982		methyltransferase activity;protein heterodimerization activity						GO:0018364;GO:0070476;GO:0042273;GO:0042274;GO:0030488	peptidyl-glutamine methylation;rRNA (guanine-N7)-methylation;ribosomal large subunit biogenesis;ribosomal small subunit biogenesis;tRNA methylation	Q8IM19
303	PF3D7_1409800	PF3D7_1409800.1	139	PF3D7_1409800	CUGBP Elav-like family member 2, putative	CELF2	None	PF00076;PF00397	GO:1990904	ribonucleoprotein complex	GO:0003723;GO:0003676;GO:0005515		RNA binding;nucleic acid binding;protein binding		GO:0043186;GO:0005737;GO:0005634;GO:1990904	P granule;cytoplasm;nucleus;ribonucleoprotein complex	RNA binding;mRNA binding	GO:0003723;GO:0003729			Q8ILZ7
304	PF3D7_1411400	PF3D7_1411400.1	325	PF3D7_1411400	plastid replication-repair enzyme	PREX	None	PF00476;PF01612;PF13481			GO:0008408;GO:0005524;GO:0003677;GO:0003678;GO:0003887;GO:0003676	GO:0006260;GO:0006261;GO:0006139	3'-5' exonuclease activity;ATP binding;DNA binding;DNA helicase activity;DNA-directed DNA polymerase activity;nucleic acid binding	DNA replication;DNA-dependent DNA replication;nucleobase-containing compound metabolic process	GO:0020011	apicoplast	3'-5' exonuclease activity;DNA helicase activity;DNA primase activity;DNA-directed DNA polymerase activity;protein binding;single-stranded DNA binding	GO:0008408;GO:0003678;GO:0003896;GO:0003887;GO:0005515;GO:0003697	GO:0045004;GO:0034599;GO:0033259	DNA replication proofreading;cellular response to oxidative stress;plastid DNA replication	Q8ILY1
305	PF3D7_1411500	PF3D7_1411500.1	326	PF3D7_1411500	conserved Plasmodium protein, unknown function		None								GO:0005730	nucleolus	RNA binding	GO:0003723	GO:0042274	ribosomal small subunit biogenesis	Q8ILY0
306	PF3D7_1411600	PF3D7_1411600.1	140	PF3D7_1411600	GTP-binding protein Obg1	Obg1	None	PF01018;PF01926;PF09269	GO:0016021	integral component of membrane	GO:0005525;GO:0000166		GTP binding;nucleotide binding		GO:0020011;GO:0005739	apicoplast;mitochondrion	DNA binding;GTP binding;GTPase activity;ribosome binding	GO:0003677;GO:0005525;GO:0003924;GO:0043022			A0A144A1B2
307	PF3D7_1411700	PF3D7_1411700.1	327	PF3D7_1411700	methyltransferase, putative		None	PF05971			GO:0008168		methyltransferase activity		GO:0005739;GO:0005634	mitochondrion;nucleus	23S rRNA (adenine(1618)-N(6))-methyltransferase activity	GO:0052907	GO:0070475	rRNA base methylation	Q8ILX8
308	PF3D7_1412300	PF3D7_1412300.1	328	PF3D7_1412300	nuclear transport factor 2, putative	NTF2	None	PF02136							GO:0044613	nuclear pore central transport channel			GO:0006913;GO:0006606	nucleocytoplasmic transport;protein import into nucleus	Q8ILX1
309	PF3D7_1412700	PF3D7_1412700.1	329	PF3D7_1412700	AAA family ATPase, putative		None	PF00004;PF17862			GO:0005524;GO:0016887		ATP binding;ATP hydrolysis activity		GO:0005737	cytoplasm	ATP hydrolysis activity	GO:0016887			Q8ILW7
310	PF3D7_1414100	PF3D7_1414100.1	330	PF3D7_1414100	zinc finger protein, putative		None	PF13696			GO:0003676;GO:0061630;GO:0008270	GO:0006397;GO:0016567	nucleic acid binding;ubiquitin protein ligase activity;zinc ion binding	mRNA processing;protein ubiquitination							Q8ILV4
311	PF3D7_1415300	PF3D7_1415300.1	141	PF3D7_1415300	RNA-binding protein Nova-1, putative		None	PF00013			GO:0003723;GO:0003676		RNA binding;nucleic acid binding		GO:0005737;GO:0005634	cytoplasm;nucleus	RNA binding;mRNA binding	GO:0003723;GO:0003729	GO:0010468	regulation of gene expression	Q8ILU3
312	PF3D7_1415400	PF3D7_1415400.1	331	PF3D7_1415400	Btz domain-containing protein, putative		None		GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0003723	GO:0008380;GO:0006397;GO:0051028;GO:0000184;GO:0006417	RNA binding	RNA splicing;mRNA processing;mRNA transport;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;regulation of translation	GO:0005634	nucleus	mRNA binding	GO:0003729			Q8ILU2
313	PF3D7_1415800	PF3D7_1415800.1	332	PF3D7_1415800	ribosomal RNA small subunit methyltransferase A1	KsgA1	None	PF00398			GO:0003723;GO:0000179;GO:0008649	GO:0000154;GO:0006364	RNA binding;rRNA (adenine-N6,N6-)-dimethyltransferase activity;rRNA methyltransferase activity	rRNA modification;rRNA processing	GO:0005737;GO:0005739	cytoplasm;mitochondrion	DNA binding;protein binding;rRNA (adenine-N6,N6-)-dimethyltransferase activity;rRNA methyltransferase activity	GO:0003677;GO:0005515;GO:0000179;GO:0008649	GO:0006352;GO:0031167;GO:0000154	DNA-templated transcription, initiation;rRNA methylation;rRNA modification	Q8ILT8
314	PF3D7_1416800	PF3D7_1416800.1	142	PF3D7_1416800	lysine--tRNA ligase, putative	KRS2	None	PF00152	GO:0005737	cytoplasm	GO:0005524;GO:0004812;GO:0004824;GO:0000166	GO:0006430;GO:0006418	ATP binding;aminoacyl-tRNA ligase activity;lysine-tRNA ligase activity;nucleotide binding	lysyl-tRNA aminoacylation;tRNA aminoacylation for protein translation	GO:0020011;GO:0005829	apicoplast;cytosol	lysine-tRNA ligase activity;tRNA binding	GO:0004824;GO:0000049	GO:0006430	lysyl-tRNA aminoacylation	Q8ILS8
315	PF3D7_1417100	PF3D7_1417100.1	143	PF3D7_1417100	conserved Plasmodium protein, unknown function		None				GO:0003676		nucleic acid binding								Q8ILS5
316	PF3D7_1417200	PF3D7_1417200.1	333	PF3D7_1417200	CCR4-NOT transcription complex subunit NOT1, putative	NOT1	None	PF04054;PF12842	GO:0030015	CCR4-NOT core complex		GO:0006417		regulation of translation	GO:0030014;GO:0030015;GO:0000932;GO:0005829;GO:0005634	CCR4-NOT complex;CCR4-NOT core complex;P-body;cytosol;nucleus	mRNA binding;molecular adaptor activity	GO:0003729;GO:0060090	GO:0017148;GO:0000288	negative regulation of translation;nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	Q8ILS4
317	PF3D7_1418900	PF3D7_1418900.1	334	PF3D7_1418900	ATP-dependent RNA helicase DBP4, putative	DBP4	None	PF00270;PF00271			GO:0005524;GO:0003723;GO:0004386;GO:0003676		ATP binding;RNA binding;helicase activity;nucleic acid binding		GO:0005634	nucleus	RNA helicase activity	GO:0003724	GO:0006364	rRNA processing	A0A346QRU7,A0A346QRU8,A7U5X3,C6S3H8
318	PF3D7_1419000	PF3D7_1419000.1	335	PF3D7_1419000	conserved Plasmodium protein, unknown function		None								GO:0005634	nucleus					Q8ILR0
319	PF3D7_1419400	PF3D7_1419400.1	144	PF3D7_1419400	conserved Plasmodium membrane protein, unknown function		None														Q8ILQ6
320	PF3D7_1419900	PF3D7_1419900.1	336	PF3D7_1419900	YTH domain-containing protein 1, putative	YTH1	None	PF04146			GO:0003723;GO:0046872		RNA binding;metal ion binding		GO:0005737;GO:0005654;GO:0005634	cytoplasm;nucleoplasm;nucleus	N6-methyladenosine-containing RNA binding;mRNA binding	GO:1990247;GO:0003729	GO:0000398;GO:0048024	mRNA splicing, via spliceosome;regulation of mRNA splicing, via spliceosome	Q8ILQ1
321	PF3D7_1420000	PF3D7_1420000.1	145	PF3D7_1420000	splicing factor 3B subunit 4, putative	SF3B4	None	PF00076			GO:0003676		nucleic acid binding		GO:0005686;GO:1990904;GO:0005681	U2 snRNP;ribonucleoprotein complex;spliceosomal complex	RNA binding	GO:0003723	GO:0008380;GO:0000375;GO:0000398	RNA splicing;RNA splicing, via transesterification reactions;mRNA splicing, via spliceosome	Q8ILQ0
322	PF3D7_1422400	PF3D7_1422400.1	146	PF3D7_1422400	nucleolar RNA-associated protein, putative		None	PF17404;PF17406							GO:0032545;GO:0034456;GO:0005730;GO:0032040	CURI complex;UTP-C complex;nucleolus;small-subunit processome	RNA binding	GO:0003723	GO:0006364;GO:0006409	rRNA processing;tRNA export from nucleus	Q8ILM9
323	PF3D7_1423000	PF3D7_1423000.1	337	PF3D7_1423000	nucleolar GTP-binding protein 2, putative	NOG2	None	PF01926;PF08153	GO:0005730	nucleolus	GO:0005525;GO:0016787		GTP binding;hydrolase activity		GO:0005730;GO:0030687	nucleolus;preribosome, large subunit precursor	GTPase activity	GO:0003924	GO:0000055	ribosomal large subunit export from nucleus	Q8ILM2
324	PF3D7_1423700	PF3D7_1423700.1	338	PF3D7_1423700	NTF2-like domain-containing protein, putative		None								GO:0005737;GO:0005634	cytoplasm;nucleus					Q8ILL5
325	PF3D7_1425400	PF3D7_1425400.1	339	PF3D7_1425400	DEAD/DEAH box helicase, putative		None	PF00270;PF00271			GO:0005524;GO:0003724;GO:0003676		ATP binding;RNA helicase activity;nucleic acid binding		GO:0071013	catalytic step 2 spliceosome	RNA binding;helicase activity	GO:0003723;GO:0004386	GO:0000398	mRNA splicing, via spliceosome	Q8ILK9
326	PF3D7_1429400	PF3D7_1429400.1	147	PF3D7_1429400	rRNA (adenosine-2'-O-)-methyltransferase, putative		None	PF00588			GO:0003723;GO:0008173	GO:0006396	RNA binding;RNA methyltransferase activity	RNA processing			tRNA (guanine) methyltransferase activity	GO:0016423	GO:0030488	tRNA methylation	Q8ILH0
327	PF3D7_1429900	PF3D7_1429900.1	148	PF3D7_1429900	ADP-dependent DNA helicase RecQ	WRN	None	PF00270;PF00271;PF09382;PF16124			GO:0043138;GO:0005524;GO:0004386;GO:0003676;GO:0000166	GO:0006310;GO:0006281;GO:0006260;GO:0044237	3'-5' DNA helicase activity;ATP binding;helicase activity;nucleic acid binding;nucleotide binding	DNA recombination;DNA repair;DNA replication;cellular metabolic process	GO:0005694;GO:0000781;GO:0005737;GO:0005634	chromosome;chromosome, telomeric region;cytoplasm;nucleus	3'-5' DNA helicase activity;DNA helicase activity;four-way junction helicase activity;protein binding	GO:0043138;GO:0003678;GO:0009378;GO:0005515	GO:0032508;GO:0006310;GO:0006281;GO:0006268;GO:0000724	DNA duplex unwinding;DNA recombination;DNA repair;DNA unwinding involved in DNA replication;double-strand break repair via homologous recombination	A0A0A1E5G7,Q8ILG5
328	PF3D7_1432500	PF3D7_1432500.1	340	PF3D7_1432500	RNA methyltransferase, putative		None	PF02598			GO:0009020		tRNA (guanosine-2'-O-)-methyltransferase activity								Q8ILD7
329	PF3D7_1435700	PF3D7_1435700.1	341	PF3D7_1435700	ataxin-2 like protein, putative		None	PF06741;PF14438							GO:0010494;GO:0005739	cytoplasmic stress granule;mitochondrion	RNA binding	GO:0003723	GO:0010603;GO:0034063	regulation of cytoplasmic mRNA processing body assembly;stress granule assembly	Q8ILA7
331	PF3D7_1435800	PF3D7_1435800.1	149	PF3D7_1435800	GTPase Era, putative	ERA	None	PF01926			GO:0005525;GO:0003723;GO:0016787		GTP binding;RNA binding;hydrolase activity		GO:0005739	mitochondrion	rRNA binding;ribosomal small subunit binding	GO:0019843;GO:0043024	GO:0000028	ribosomal small subunit assembly	Q8ILA6
332	PF3D7_1439100	PF3D7_1439100.1	342	PF3D7_1439100	DEAD/DEAH box helicase, putative		None	PF00270;PF00271;PF02889			GO:0005524;GO:0003676		ATP binding;nucleic acid binding		GO:0005737	cytoplasm	RNA helicase activity	GO:0003724			Q8IL78
333	PF3D7_1441200	PF3D7_1441200.1	343	PF3D7_1441200	60S ribosomal protein L1, putative		None	PF00687	GO:0015934	large ribosomal subunit	GO:0003723;GO:0003735	GO:0006412	RNA binding;structural constituent of ribosome	translation	GO:0022625;GO:0005622;GO:0005634	cytosolic large ribosomal subunit;intracellular;nucleus	RNA binding;structural constituent of ribosome	GO:0003723;GO:0003735	GO:0000470;GO:0006412	maturation of LSU-rRNA;translation	Q8IL58
334	PF3D7_1443300	PF3D7_1443300.1	150	PF3D7_1443300	U6 snRNA-associated Sm-like protein LSm5, putative	LSM5	None	PF01423	GO:0005681	spliceosomal complex	GO:0003723		RNA binding		GO:1990726;GO:0046540;GO:0005688;GO:0005634;GO:0005732	Lsm1-7-Pat1 complex;U4/U6 x U5 tri-snRNP complex;U6 snRNP;nucleus;sno(s)RNA-containing ribonucleoprotein complex			GO:0008380;GO:0000398	RNA splicing;mRNA splicing, via spliceosome	Q8IL38
335	PF3D7_1445200	PF3D7_1445200.1	344	PF3D7_1445200	ATP-dependent RNA helicase MAK5, putative	MAK5	None	PF00270;PF00271			GO:0005524;GO:0003724;GO:0003676		ATP binding;RNA helicase activity;nucleic acid binding		GO:0005730;GO:0005634	nucleolus;nucleus	helicase activity	GO:0004386	GO:0042273	ribosomal large subunit biogenesis	Q8IL21
336	PF3D7_1445500	PF3D7_1445500.1	345	PF3D7_1445500	exosome-associated factor Rrp47, putative		None	PF04000							GO:0000178;GO:0005730	exosome (RNase complex);nucleolus	DNA binding;RNA binding	GO:0003677;GO:0003723	GO:0000460;GO:0010468	maturation of 5.8S rRNA;regulation of gene expression	Q8IL18
337	PF3D7_1445600	PF3D7_1445600.1	346	PF3D7_1445600	RNA-binding protein, putative		None	PF00076;PF07744			GO:0003723;GO:0003676		RNA binding;nucleic acid binding		GO:0005634	nucleus					Q8IL17
338	PF3D7_1450400	PF3D7_1450400.1	151	PF3D7_1450400	E3 ubiquitin-protein ligase ZNF598, putative		None								GO:0005634	nucleus					Q8IKX2
339	PF3D7_1450600	PF3D7_1450600.1	152	PF3D7_1450600	S-adenosylmethionine-dependent methyltransferase, putative		None	PF10672;PF17785			GO:0003723;GO:0030732;GO:0008168	GO:0032259	RNA binding;methionine S-methyltransferase activity;methyltransferase activity	methylation							Q8IKX0
340	PF3D7_1454000	PF3D7_1454000.1	153	PF3D7_1454000	RNA-binding protein, putative		None	PF00076;PF01585			GO:0003676	GO:0043484	nucleic acid binding	regulation of RNA splicing			RNA binding	GO:0003723	GO:0006281;GO:0000380;GO:0000381	DNA repair;alternative mRNA splicing, via spliceosome;regulation of alternative mRNA splicing, via spliceosome	Q8IKT8
341	PF3D7_1457700	PF3D7_1457700.1	154	PF3D7_1457700	large ribosomal subunit nuclear export factor, putative		None	PF03914													Q8IKQ3
342	PF3D7_1458800	PF3D7_1458800.1	155	PF3D7_1458800	DNA-directed RNA polymerase III subunit RPC5, putative		None	PF04801	GO:0005634	nucleus	GO:0003899	GO:0006351	DNA-directed 5'-3' RNA polymerase activity	transcription, DNA-templated	GO:0005666	RNA polymerase III complex					Q8IKP3
343	PF3D7_1460300	PF3D7_1460300.1	156	PF3D7_1460300	60S ribosomal protein L29, putative	RPL29	None	PF01779	GO:0005840	ribosome	GO:0003735	GO:0006412	structural constituent of ribosome	translation	GO:0022625;GO:0005634	cytosolic large ribosomal subunit;nucleus	structural constituent of ribosome	GO:0003735	GO:0002181	cytoplasmic translation	C6S3J6
344	PF3D7_1461200	PF3D7_1461200.1	157	PF3D7_1461200	U3 small nucleolar ribonucleoprotein protein IMP3, putative	IMP3	None	PF00163;PF01479			GO:0003723;GO:0019843		RNA binding;rRNA binding		GO:0034457;GO:0032040	Mpp10 complex;small-subunit processome	snoRNA binding	GO:0030515	GO:0006364;GO:0042274	rRNA processing;ribosomal small subunit biogenesis	A0A144A2N8
345	PF3D7_1461600	PF3D7_1461600.1	347	PF3D7_1461600	splicing factor 3B subunit 2, putative	SF3B2	None	PF04037;PF04046	GO:0005634	nucleus					GO:0005686;GO:0005684;GO:0071013;GO:0005634;GO:0071011;GO:0005681	U2 snRNP;U2-type spliceosomal complex;catalytic step 2 spliceosome;nucleus;precatalytic spliceosome;spliceosomal complex			GO:0000398	mRNA splicing, via spliceosome	Q8IKL7
346	PF3D7_1463200	PF3D7_1463200.1	348	PF3D7_1463200	replication factor C subunit 3, putative	RFC3	None	PF00004;PF08542			GO:0005524;GO:0016887;GO:0003677	GO:0006260	ATP binding;ATP hydrolysis activity;DNA binding	DNA replication	GO:0005663;GO:0043626;GO:0005634	DNA replication factor C complex;PCNA complex;nucleus			GO:0006281;GO:0006260;GO:0006271;GO:0006261;GO:0006272	DNA repair;DNA replication;DNA strand elongation involved in DNA replication;DNA-dependent DNA replication;leading strand elongation	Q8IKK4,Q9GR09
347	PF3D7_1463400	PF3D7_1463400.1	158	PF3D7_1463400	DNA-directed RNA polymerase III subunit RPC4, putative		None	PF05132	GO:0005666	RNA polymerase III complex	GO:0003677;GO:0003899	GO:0006383	DNA binding;DNA-directed 5'-3' RNA polymerase activity	transcription by RNA polymerase III	GO:0005666	RNA polymerase III complex					Q8IKK2
348	PF3D7_1464200	PF3D7_1464200.1	159	PF3D7_1464200	zinc finger CCCH domain-containing protein, putative	ZFP	None	PF00642			GO:0046872		metal ion binding								Q8IKJ5
349	PF3D7_1466700	PF3D7_1466700.1	349	PF3D7_1466700	60S ribosome subunit biogenesis protein NIP7, putative	NIP7	None	PF03657;PF17833	GO:0005634	nucleus	GO:0003723	GO:0042255	RNA binding	ribosome assembly	GO:0005730;GO:0030687	nucleolus;preribosome, large subunit precursor			GO:0042273	ribosomal large subunit biogenesis	Q8IKH0
350	PF3D7_1467500	PF3D7_1467500.1	350	PF3D7_1467500	DNA/RNA-binding protein KIN17, putative		None	PF10357;PF18131							GO:0005634	nucleus	double-stranded DNA binding	GO:0003690	GO:0006260;GO:0006974	DNA replication;cellular response to DNA damage stimulus	Q8IKG2
351	PF3D7_1468800	PF3D7_1468800.1	160	PF3D7_1468800	splicing factor U2AF large subunit, putative	U2AF2	None	PF00076	GO:0005634	nucleus	GO:0003723;GO:0003676	GO:0006397	RNA binding;nucleic acid binding	mRNA processing	GO:0071004;GO:0089701;GO:0000243;GO:0016607;GO:0005634;GO:0005681	U2-type prespliceosome;U2AF complex;commitment complex;nuclear speck;nucleus;spliceosomal complex	RNA binding;poly-pyrimidine tract binding;pre-mRNA 3'-splice site binding	GO:0003723;GO:0008187;GO:0030628	GO:0000398	mRNA splicing, via spliceosome	Q8IKE9
352	PF3D7_1469300	PF3D7_1469300.1	351	PF3D7_1469300	pre-rRNA-processing protein PNO1, putative	PNO1	None	PF00013			GO:0003723;GO:0003676		RNA binding;nucleic acid binding		GO:0005730	nucleolus	unfolded protein binding	GO:0051082			Q8IKE4
353	PF3D7_1470600	PF3D7_1470600.1	352	PF3D7_1470600	RAP protein RAP21	RAP21	None	PF08373							GO:0005739;GO:0005634	mitochondrion;nucleus	mitochondrial ribosome binding;rRNA binding	GO:0097177;GO:0019843			A0A144A2U7
354	PF3D7_1473900	PF3D7_1473900.1	161	PF3D7_1473900	ribosome assembly 1 protein	NUF1P1	None	PF10453									protein binding	GO:0005515			Q8IK99
355	PF3D7_1474500	PF3D7_1474500.1	162	PF3D7_1474500	splicing factor 3A subunit 1, putative	SF3A1	None	PF01805;PF12230			GO:0003723	GO:0006396;GO:0008380;GO:0006397	RNA binding	RNA processing;RNA splicing;mRNA processing	GO:0005686;GO:0071004;GO:0071013;GO:0005634;GO:0005681	U2 snRNP;U2-type prespliceosome;catalytic step 2 spliceosome;nucleus;spliceosomal complex	RNA binding	GO:0003723	GO:0000398	mRNA splicing, via spliceosome	Q8IK93
356	PF3D7_1474900	PF3D7_1474900.1	353	PF3D7_1474900	trailer hitch homolog, putative	CITH	None	PF12701							GO:0043186;GO:0000932;GO:0005737;GO:1990124;GO:0005634	P granule;P-body;cytoplasm;messenger ribonucleoprotein complex;nucleus	mRNA binding	GO:0003729	GO:0033962;GO:0006402;GO:0034063	P-body assembly;mRNA catabolic process;stress granule assembly	Q8IK89
